Wall time,Step,Value
1720066273,5256,0.612706482
1720066326,5262,0.587548137
1720066360,5266,0.546283901
1720066567,5289,0.772513568
1720066684,5302,0.517903209
1720066757,5310,0.549560547
1720066808,5316,0.331537545
1720066826,5318,0.399453372
1720066835,5319,0.556336343
1720066981,5329,0.733139455
1720067007,5330,0.694541335
1720067287,5345,0.590744674
1720067373,5348,0.462693959
1720067636,5359,0.376616776
1720067656,5360,0.474861652
1720067732,5363,0.567104936
1720067977,5373,0.683373272
1720068158,5380,0.450213432
1720068261,5384,0.434432805
1720068362,5388,0.423763275
1720068584,5397,0.828372121
1720069481,5402,0.487439066
1720069503,5404,0.470305979
1720069522,5406,0.626241863
1720069604,5415,0.615090132
1720069650,5420,0.661666572
1720069695,5425,0.43693161
1720069822,5439,0.549295127
1720069832,5440,0.603332579
1720069850,5442,0.534030497
1720069896,5447,0.559823036
1720069979,5456,0.573168278
1720070030,5462,0.679672241
1720070144,5475,0.631843984
1720070226,5484,0.658746183
1720070244,5486,0.925115824
1720070277,5490,0.412872821
1720070284,5491,0.462815523
1720070317,5495,0.687155962
1720070367,5501,0.48531574
1720070420,5507,0.628633797
1720070466,5512,0.69358629
1720070489,5515,0.759143829
1720070506,5517,0.804447353
1720070597,5528,0.479240507
1720070633,5532,0.470551819
1720070713,5541,0.737135768
1720070746,5545,0.660654306
1720070781,5549,0.406774461
1720070822,5554,0.560470045
1720070864,5559,0.50217402
1720070929,5566,0.481426984
1720070971,5571,0.556537926
1720070988,5573,0.350600213
1720071004,5575,0.926785767
1720071013,5576,0.636553943
1720071090,5585,0.444549024
1720071099,5586,0.518247962
1720071108,5587,0.503148615
1720071162,5593,0.605891407
1720071262,5605,0.572166562
1720071302,5610,0.492951542
1720071373,5618,0.495342642
1720071390,5620,0.375565976
1720071474,5630,0.607666731
1720071492,5632,0.526773155
1720071619,5647,0.708987653
1720071714,5658,0.563056886
1720071732,5660,0.537375271
1720071766,5664,0.580808759
1720071782,5666,0.688865662
1720071868,5676,0.604920626
1720071894,5679,0.472505271
1720071962,5687,0.572990358
1720072077,5700,0.683502436
1720072094,5702,0.491407156
1720072189,5713,0.816821039
1720072248,5720,0.54060334
1720072274,5723,0.754239559
1720072309,5727,0.494526505
1720072430,5741,0.546030819
1720072524,5752,0.565854073
1720072585,5759,0.493945271
1720072646,5766,0.488785475
1720072727,5776,0.553481102
1720072752,5779,0.499615878
1720072786,5783,0.60244
1720072796,5784,0.376083344
1720072842,5789,0.352896214
1720072891,5795,0.45718205
1720072909,5797,0.760851383
1720072990,5807,0.525087357
1720072998,5808,0.415324032
1720073148,5825,0.683671057
1720073174,5828,0.728266716
1720073214,5833,0.345405966
1720073232,5835,0.519415855
1720073318,5845,0.401771456
1720073335,5847,0.431759536
1720073436,5859,0.477364451
1720073459,5862,0.572207987
1720073475,5864,0.657726467
1720073535,5871,0.419838041
1720073622,5881,0.514641583
1720073693,5889,0.768717885
1720073710,5891,0.571487486
1720073726,5893,0.342992127
1720073753,5896,0.715806067
1720073771,5898,0.755826473
1720073851,5907,0.673085511
1720073935,5917,0.372614354
1720073944,5918,0.380263537
1720074016,5926,0.463003516
1720074035,5928,0.734078228
1720074072,5932,0.48834464
1720074080,5933,0.378274381
1720074096,5935,0.645800889
1720074236,5952,0.408830076
1720074281,5957,0.585318565
1720074299,5959,0.367133141
1720074306,5960,0.462528646
1720074330,5963,0.553949535
1720074402,5972,0.536498487
1720074561,5990,0.292782187
1720074638,5999,0.600771308
